userID,subscribers,videoviews,channeltype,grade,MonthlyEarnings,YearlyEarnings
??????????? ?????…,4210939,3217123449,Comedy,A-,€11.3K - €181.2K,€135.9K - €2.2M
MBC THE VOICE KIDS,5172138,3211911864,Entertainment,A-,€10.4K - €165.9K,€124.4K - €2M
Dave and Ava - Nursery Rhymes and…,5647907,3205693115,Education,A,€19.6K - €313.9K,€235.4K - €3.8M
RaeSremmurdVEVO,5630268,3198561704,Music,B+,€7K - €111.7K,€83.8K - €1.3M
Dr. Phil,4082442,3194196538,Entertainment,A,€27.4K - €437.9K,€328.4K - €5.3M
The Key of Awesome,5473407,3188785111,Comedy,B,€1.5K - €23.5K,€17.6K - €281.7K
Swan The Voice - Néo & Swan,3720959,3185727138,Entertainment,A,€20.9K - €334.4K,€250.8K - €4M
infobells - Telugu,6456428,3182736946,Education,A,€32.5K - €520K,€390K - €6.2M
TEDx Talks,17651308,3170930713,Nonprofit,A,€17.8K - €284.3K,€213.2K - €3.4M
Official Pink Panther,6186074,3159719282,Film,A,€24K - €384.7K,€288.5K - €4.6M
ABP NEWS,11820271,3157711048,News,A,€43.2K - €690.8K,€518.1K - €8.3M
El Reino a Jugar,6773091,3148117315,Education,A,€46.5K - €744.4K,€558.3K - €8.9M
FutureVEVO,4674875,3129129328,Music,A-,€14K - €224.6K,€168.4K - €2.7M
Collins Key,17336317,3127029394,Entertainment,A,€25.8K - €412.1K,€309.1K - €4.9M
Emily Tube,9452393,3116798870,Entertainment,A,€23.8K - €380.2K,€285.1K - €4.6M
FARRUKOVEVO,5991712,3116519712,Music,B+,€7.7K - €122.7K,€92K - €1.5M
Warner Music México,2424306,3102539212,Music,A-,€13.2K - €211.3K,€158.5K - €2.5M
KarolGVEVO,3613190,3099470472,Music,A,€31.8K - €508.8K,€381.6K - €6.1M
Nickelodeon,5599503,3094757886,Entertainment,D-,€0 - €0,€0 - €0
ERB,14399322,3093566197,Entertainment,B+,€4.2K - €67.3K,€50.5K - €808.1K
DJKhaledVEVO,5293311,3090245854,Music,B+,€9.7K - €154.8K,€116.1K - €1.9M
FitDance,9929078,3087162803,Music,A,€20.2K - €323K,€242.2K - €3.9M
ThaliaVEVO,2336584,3071397437,Music,A,€18.7K - €299.3K,€224.4K - €3.6M
JennaMarbles,19401558,3070410584,Comedy,A-,€12.5K - €200.5K,€150.4K - €2.4M
TLC,3873302,3056095258,Entertainment,A,€20.4K - €327K,€245.3K - €3.9M
WisinYYandelVEVO,3013068,3050477783,Music,A,€28.2K - €450.5K,€337.9K - €5.4M
PostMaloneVEVO,4110258,3047452919,Music,A,€39.6K - €634.1K,€475.5K - €7.6M
Zee Marathi,4001160,3042155906,Entertainment,A,€30.5K - €488.6K,€366.5K - €5.9M
Disney UK,3895398,3041123185,Film,B+,€10.2K - €162.5K,€121.9K - €2M
Caso Cerrado,5407901,3035383560,Entertainment,A,€27.3K - €437.4K,€328K - €5.2M
FROST,8030085,3028278630,Games,B+,€3.3K - €53.1K,€39.8K - €637.3K
Ray,9820543,3011144901,Comedy,D-,€0 - €0,€0 - €0
JuanGabrielVEVO,3217080,3009560856,Music,B+,€10.4K - €165.7K,€124.2K - €2M
IISuperwomanII,14516149,2999789626,Comedy,B+,€5.5K - €88.4K,€66.3K - €1.1M
White Hill Music,8574194,2992718484,Music,A,€30.9K - €495.1K,€371.3K - €5.9M
ChinoNachoVEVO,3380174,2985247504,Music,B+,€6.7K - €107.2K,€80.4K - €1.3M
KBSEntertain,2966919,2976533584,Entertainment,D-,€4.8K - €76.2K,€57.2K - €914.8K
Oyuncak Av?,5483402,2974779634,Entertainment,A,€79.3K - €1.3M,€951.9K - €15.2M
Haschak Sisters,6227222,2957641801,Entertainment,A,€21.1K - €337.3K,€253K - €4M
HTV2-Vie Channel,5379007,2949957259,Film,A-,€6.7K - €107.7K,€80.8K - €1.3M
BFvsGF,9101138,2948419817,People,B,€622 - €10K,€7.5K - €119.5K
Kênh Thi?u Nhi - BHMEDIA,4249816,2934616417,Music,A,€18.4K - €294.4K,€220.8K - €3.5M
CantaJuegoVEVO,3101323,2933935412,Music,A-,€15.3K - €244.7K,€183.6K - €2.9M
